0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
8.155306618545289377e-01,6.639013630008144817e-01,1.256026440180830206e-01,6.657217083108588063e-02,2.613381412732167508e-01,9.602627392397145023e-01,2.420162907369416416e-02,9.886805734370414100e-01,9.912885273740082437e-02,2.752335694384175357e-01,5.785272508115557599e-01,7.345312452919875446e-01,7.230884260435304078e-01,9.377212644763606164e-01,5.707467054495530823e-01,8.833336483798161914e-03,8.151357477396614648e-01,6.217587432949474024e-01,2.310747506414486882e-03,9.801003412280048233e-01,4.037399595605201119e-03,6.028986452522454575e-01,1.472358366773964498e-02,4.162474019492988786e-01,8.397605908492765669e-01,5.039337566043761152e-01,4.211285217520392005e-02,8.077106251060089948e-01,7.862972205565545991e-01,3.317164622214245351e-01,7.275584897227933530e-05,4.075201515817994946e-01,7.934543385207346589e-01,9.491743343832375057e-01,6.623280380393792299e-01,7.870721558768165593e-01,1.046648310727012754e-01,9.351104060250003958e-01,1.303908412113952489e-02,4.325959574442495015e-01,9.024595327483346807e-01,4.366929145389420452e-01,9.139070362644863277e-01,6.134425483013188031e-04,8.462301120409343458e-01,3.251946768552970712e-01,2.731923377356928473e-01,2.616158529792922405e-02
8.696069128854923003e-01,1.258837818711154022e-01,8.258905925451535263e-03,7.007196274153747462e-01,1.425396456896485531e-01,9.607289692250954305e-01,2.875829997811951699e-01,9.069528353452476210e-01,9.211252278645349900e-01,2.802694492986216313e-01,6.610447633564937586e-01,8.514718590932985887e-01,6.958516756096136957e-01,7.169277981764651253e-01,1.271754656598245159e-02,2.750648066489509436e-01,8.445019370932262959e-01,8.078778647776080346e-02,6.278242151606135135e-02,9.823373701767995625e-01,4.736143524906639701e-01,6.220862907440964928e-01,1.445654067698420170e-02,6.077933045157937197e-01,7.372285038637940158e-01,7.227727571081050267e-03,2.997129712537210944e-03,7.431050346765202264e-01,1.939820710993424013e-01,6.974332077320992418e-02,2.613577290169000276e-06,6.758492827819095883e-01,7.573822734883685071e-01,9.316274305535071631e-01,5.915409804190474574e-02,9.275479005086106898e-01,7.575293974897745475e-01,9.585131355247427098e-01,7.699350289551244453e-01,3.983619854672674210e-01,9.807198469173720179e-01,3.085855754403462048e-01,2.895603238494925263e-02,1.801226069162267102e-02,8.855337117687458459e-01,3.691503623366092501e-01,4.644166906612208490e-02,1.037482354638147308e-02
1.728478852494885754e-02,8.262311122812547939e-04,4.880640820535120383e-02,9.614913062390742201e-04,1.332728234865815375e-02,5.257948140827063688e-02,0.000000000000000000e+00,1.869312598574855711e-02,2.472931063916998257e-03,4.255839734452749462e-03,1.653348880167222756e-04,0.000000000000000000e+00,1.312689375730889951e-01,1.326465677099494853e-05,7.409749980884922094e-05,0.000000000000000000e+00,1.354302851741578245e-03,9.234397275082172410e-03,5.089015515488171148e-04,4.155810104387695769e-04,4.702944182491397562e-06,0.000000000000000000e+00,2.739679691297825480e-03,1.712145152593172459e-04,1.358152134087655533e-04,2.163453491390045919e-02,2.347224107866714227e-06,3.808574942567249932e-02,5.888268489408526180e-02,6.078262609819732329e-06,4.674387454993337665e-06,1.057306071568299075e-03,8.393745831500153409e-01,0.000000000000000000e+00,9.265784657900748636e-04,4.519010578303957193e-03,4.269573865703462073e-04,7.366021918252063649e-02,1.187033928414413589e-03,8.467324257212943683e-07,3.163962428388983339e-02,2.297879601711027425e-03,1.630452160795019018e-04,4.094108102657939390e-05,5.583268113497637242e-03,1.579597760359712777e-01,7.583869963851125730e-05,0.000000000000000000e+00
7.598549342294214082e-01,1.192591266046465759e-01,1.354026134539301068e-02,5.380717997994213450e-03,6.577929776835456099e-01,4.898418836696372125e-02,4.403688581916358202e-05,6.587923172308118858e-02,9.124385770517600136e-01,7.613799292051321799e-04,6.722034907594262761e-04,2.728336713365380264e-03,8.828840508709259183e-01,2.960365551570537379e-02,1.296219498634075887e-02,3.046367735716608016e-01,6.255385314128136809e-02,6.062223515486415693e-01,5.818356857277884320e-02,5.739002900462139012e-01,5.038125300977556176e-01,1.629631127794700651e-02,2.256291223758728065e-02,6.999970550183314266e-01,7.778442198730259882e-01,5.722338237119053983e-03,2.435273961513634844e-01,7.599516948840978614e-03,9.395056085202381224e-01,5.783795445374961819e-02,8.356603547065435004e-07,4.955397593601360562e-01,7.587498094693712059e-01,5.311233961210370946e-02,8.832332428649040945e-02,1.025237622736189930e-01,7.734191294490095903e-01,3.529785527779227827e-02,2.019191998671682198e-02,3.881431676429594191e-01,8.908532921535673443e-01,3.102543055760634827e-01,3.417030201881114410e-04,6.021806964924481453e-04,8.856065724443819009e-01,3.666778740356438360e-01,2.869590272527216060e-05,1.434115128324196103e-02
9.949833497651188186e-01,1.258837818711154022e-01,8.258905925451535263e-03,7.007196274153747462e-01,1.425396456896485531e-01,9.607289692250954305e-01,2.837541039797818465e-01,9.069528353452476210e-01,8.132467794114283111e-01,2.785278411318090619e-01,5.769550520725417186e-01,7.863737921523193952e-01,6.958516756096136957e-01,7.169277981764651253e-01,5.699405768233081204e-01,2.689277603934737970e-02,8.573195928586766490e-01,5.049807732123656745e-02,6.278242151606135135e-02,9.805475230551055077e-01,4.736143524906639701e-01,6.220862907440964928e-01,1.511332412681814022e-02,3.864175447375237660e-01,7.373634193331101150e-01,7.127739396302068542e-03,2.542371537152910560e-03,7.431050346765202264e-01,1.939820710993424013e-01,2.734135612023250728e-01,6.903887967944408698e-05,6.758492827819095883e-01,7.751215025744191411e-01,8.905949257076929415e-01,5.915409804190474574e-02,9.047914852731121504e-01,7.553814651745364150e-01,9.587080684436106726e-01,7.698295822536510569e-01,1.776382241456186950e-02,9.808939724436921415e-01,3.506794656677464928e-01,2.884541601456985793e-02,1.801226069162267102e-02,9.018865453883824213e-01,3.671840751639449674e-01,4.414086551463712593e-02,8.755481746626947448e-01
8.662854426999014867e-01,1.259857528009991345e-01,1.338595973513359702e-03,7.232737953080913273e-01,1.491624577789479600e-01,9.893028721041863260e-01,2.795442561576345630e-01,2.157461248207734675e-02,9.124385770517600136e-01,1.248461891691767384e-01,4.945688504464511998e-03,2.199313851570089406e-02,7.067503792192538770e-01,2.960365551570537379e-02,1.293598759754011063e-02,3.041586475524263866e-01,1.436798965972331255e-01,6.176189226384728448e-01,5.617896937917780942e-02,6.439574513944286149e-01,5.038125300977556176e-01,3.984295556314781939e-02,2.202183725647605117e-02,3.999108721228958885e-01,7.438217486531701894e-01,7.108311610437234584e-03,2.355484570473003747e-01,7.129636722458971843e-01,7.586088590749160421e-01,5.783795445374961819e-02,8.711151434853333530e-07,7.935229537353982732e-03,7.569005612692125684e-01,9.135717951459554342e-01,8.786431721538889850e-02,3.011669200645342159e-02,7.727620651569598875e-01,8.832868088640200011e-01,3.907823871675869531e-02,4.040936407043228540e-01,8.845283239728536362e-01,2.200074899037335330e-02,2.885859209128372599e-02,6.868067676416879375e-05,8.856065724443819009e-01,3.670942732021246213e-01,3.741098279842400981e-03,1.439408318216672811e-02
1.372468022202477655e-02,8.262311122812547939e-04,4.575078184618264210e-02,5.574929652202575969e-04,1.031627644887322948e-02,1.122302434942889365e-03,0.000000000000000000e+00,1.869312598574855711e-02,2.472931063916998257e-03,4.387865611663443327e-03,1.653348880167222756e-04,0.000000000000000000e+00,6.609698034876088091e-02,1.326465677099494853e-05,1.205216324985105506e-06,0.000000000000000000e+00,5.402855195490267187e-02,8.080684780368155924e-07,0.000000000000000000e+00,4.155810104387695769e-04,0.000000000000000000e+00,0.000000000000000000e+00,2.623404155115917694e-03,1.712145152593172459e-04,1.656589912039066644e-04,2.101997593796360586e-02,1.749123485742410267e-06,5.289424827740313827e-05,6.043741276935227918e-02,6.078262609819732329e-06,3.037190736641227840e-06,1.057306071568299075e-03,8.393745831500153409e-01,0.000000000000000000e+00,3.683788668098000874e-05,4.519010578303957193e-03,4.269573865703462073e-04,2.697962385857004210e-05,9.763327191884786302e-06,8.467324257212943683e-07,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,9.338295493762406393e-06,6.726233013756665810e-03,1.884846725863555811e-05,7.583869963851125730e-05,0.000000000000000000e+00
7.047709017690776401e-01,7.722342918160145231e-03,1.066056085500050737e-03,5.690270927042461336e-04,1.443113683730495311e-01,4.023705772657926172e-03,9.050394853337400541e-04,1.721761060247949116e-02,6.724192132395952204e-03,1.215427932778601798e-03,3.992349285589514782e-03,0.000000000000000000e+00,7.392432354322511223e-01,2.861763000279025915e-02,7.990994356738535809e-03,2.823675869812695138e-01,5.382273211495113702e-02,8.194062302356412697e-07,1.255795131439190783e-05,5.993815254268295423e-01,1.165273341339963589e-02,4.973160852584354775e-05,1.122424957636001218e-05,3.739189548621246750e-02,1.812950394138695270e-02,7.396191579944616512e-04,1.316442764446316331e-04,6.659036054701702456e-01,1.340937176872527281e-01,6.544324205519265469e-02,6.148372110688247940e-05,7.901937395126214236e-03,8.863583673888806302e-01,1.407937537062858846e-01,6.892999685592876655e-05,7.328116699490985764e-02,1.203352772926574166e-01,4.331977797076974612e-04,1.836689009599816458e-02,2.400792963021868909e-04,8.799205557102751651e-01,4.995446670439892579e-05,1.131070698175643408e-05,7.081638286166769443e-04,4.951482334350307962e-02,7.005737306981646428e-04,2.303262384800372486e-05,2.757605550953701190e-02
9.052880779902953146e-01,3.499732799993494209e-02,2.101289214278458384e-01,7.240937869945068828e-01,1.450145204967771551e-01,3.315276136656670758e-01,1.408465872300895989e-02,1.156213293705833645e-03,8.159704529684040919e-01,2.378523720780574557e-03,5.044707141167512413e-03,1.782772956041178691e-02,8.857633556199413505e-01,4.161246430725396017e-02,1.066255049951936838e-02,3.986515662854102360e-02,5.855672836545466886e-02,5.798375789157162938e-04,5.482208013039788219e-02,5.781658950342765113e-01,4.528699044340132041e-01,6.232767457061740846e-01,2.177185221269695159e-03,5.801241955667799655e-01,7.431772732561658934e-01,5.136236001755253855e-02,1.306611747293119630e-02,7.509421670087854106e-02,2.033905742683256024e-01,5.800612607480754024e-02,4.008837667197486074e-05,4.142246471936866792e-01,7.959715975598291582e-01,9.371368406369194881e-01,1.344763901171211126e-02,3.784044405706504799e-02,5.896759143488927712e-02,4.260933853598972837e-02,1.183779113892164878e-02,2.351451864660386581e-02,8.999514702992972293e-01,4.323122219343633610e-01,4.928431704709415606e-02,1.111689146213666775e-02,9.097252886746164391e-01,8.286308599452230084e-04,6.246441385297581313e-04,1.542722268746916404e-02
